ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,20,Singil-ro 28na-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 3183-65,1,3446,신길동 243-38,신길로28나길,4154505,2.00000000,36.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,21,Singil-ro 28ra-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 3126,1,3448,신길동 3183-96,신길로28라길,4154507,4.00000000,123.00000000,4,11560,3
20090710,가마고지라는 옛지명 활용,20,Gamasan-ro,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20090710,20141030224639,대림동 777-1,1,3449,신길동 699,가마산로,3000023,5.00000000,5898.00000000,3,11560,1
20100520,가마산로에서 분기되는 도로로 해당 일련번호 활용,21,Gamasan-ro 80-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224641,신길동 1828,1,3450,신길동 240-10,가마산로80길,4154033,3.00000000,102.00000000,4,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,10,Dosin-ro 9-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224646,대림동 604-148,1,3690,대림동 607-1,도신로9길,4154355,0.88300000,14.15300000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,20,Singil-ro 28ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 3430,1,3443,신길동 3261,신길로28가길,4154503,3.00000000,70.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,20,Singil-ro 28na-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 3183-65,1,3444,신길동 243-38,신길로28나길,4154505,2.00000000,44.00000000,4,11560,3
20100520,신길로에서 분기되는 도로로 해당 일련번호 활용,20,Singil-ro 28ga-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224647,신길동 3430,1,3445,신길동 3261,신길로28가길,4154503,3.00000000,65.00000000,4,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,20,Dosin-ro 29sa-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,도림동 117-36,1,1968,도림동 129-27,도신로29사길,4154323,3.00000000,15.00000000,4,11560,3
20100520,도신로에서 분기되는 도로로 해당 일련번호 활용,24,Dosin-ro 56na-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20100527,20141030224645,신길동 4934-1,1,1951,신길동 144-217,도신로56나길,4154344,3.00000000,39.00000000,4,11560,3
